\usepackage{ulem}date,isin,ticker,name,open,high,low,close,volume
2021-01-01,XX0000000515,3M,3M,193.8501,197.5727,191.8432,195.0012,6074404
2021-01-04,XX0000000515,3M,3M,194.948,196.4742,192.0129,194.1845,3485457
2021-01-05,XX0000000515,3M,3M,193.5205,194.7041,191.9887,193.6376,2940900
2021-01-06,XX0000000515,3M,3M,193.7703,195.3852,193.1063,195.1351,2643272
2021-01-07,XX0000000515,3M,3M,193.854,194.408,191.608,192.6929,1804643
2021-01-08,XX0000000515,3M,3M,194.9775,196.3832,188.3547,188.9336,2102467
2021-01-11,XX0000000515,3M,3M,189.2721,190.7904,187.6183,189.4737,4809079
2021-01-12,XX0000000515,3M,3M,191.5825,192.1319,185.4194,188.4646,3715984
2021-01-13,XX0000000515,3M,3M,187.8359,193.875,187.3227,191.8548,3156600
2021-01-14,XX0000000515,3M,3M,189.7174,195.1869,189.374,193.9512,2583540
2021-01-15,XX0000000515,3M,3M,193.436,194.5985,192.0578,193.8507,2917622
2021-01-18,XX0000000515,3M,3M,191.8238,201.2552,190.7067,198.4477,2937030
2021-01-19,XX0000000515,3M,3M,198.3925,202.4159,195.603,197.2461,4640859
2021-01-20,XX0000000515,3M,3M,198.2546,202.29,196.2513,198.1459,4461188
2021-01-21,XX0000000515,3M,3M,198.4465,201.2971,197.6807,197.969,4996557
2021-01-22,XX0000000515,3M,3M,197.2849,206.1708,194.5584,204.8937,3969514
2021-01-25,XX0000000515,3M,3M,204.1604,210.6953,202.7015,208.8226,2967588
2021-01-26,XX0000000515,3M,3M,209.8658,211.6777,206.8494,208.7953,3045839
2021-01-27,XX0000000515,3M,3M,210.2787,211.4336,207.3799,208.2697,4225816
2021-01-28,XX0000000515,3M,3M,207.9536,209.8025,207.4075,207.574,2958047
2021-01-29,XX0000000515,3M,3M,207.1195,208.4073,206.7474,206.9489,2344776
2021-02-01,XX0000000515,3M,3M,207.5893,208.5982,202.8156,203.317,2528100
2021-02-02,XX0000000515,3M,3M,204.3232,209.474,203.8424,207.1002,3428210
2021-02-03,XX0000000515,3M,3M,207.5901,208.2589,205.9493,207.8076,2608865
2021-02-04,XX0000000515,3M,3M,208.6848,211.8826,207.0884,210.8385,3208056
2021-02-05,XX0000000515,3M,3M,209.6932,212.6732,207.8089,209.1109,1895831
2021-02-08,XX0000000515,3M,3M,209.9158,210.1943,208.7786,208.9425,3389725
2021-02-09,XX0000000515,3M,3M,211.0196,213.2967,209.0778,210.1782,2609833
2021-02-10,XX0000000515,3M,3M,210.8761,213.5424,209.5722,213.2182,3212025
2021-02-11,XX0000000515,3M,3M,215.2141,218.0734,213.9011,216.6162,3919646
2021-02-12,XX0000000515,3M,3M,214.906,221.4603,214.567,219.5033,3970805
2021-02-15,XX0000000515,3M,3M,219.5207,227.6346,216.0201,225.7581,5828718
2021-02-16,XX0000000515,3M,3M,226.7246,228.0215,224.914,226.6936,3290225
2021-02-17,XX0000000515,3M,3M,226.1924,228.2635,216.231,221.734,3512379
2021-02-18,XX0000000515,3M,3M,220.9712,222.3723,215.4662,217.6773,3623482
2021-02-19,XX0000000515,3M,3M,217.2514,217.2572,212.047,215.3763,4706854
2021-02-22,XX0000000515,3M,3M,215.3855,218.7188,214.2114,217.9086,2351384
2021-02-23,XX0000000515,3M,3M,218.4482,222.75,215.9952,220.7478,3116940
2021-02-24,XX0000000515,3M,3M,220.6641,225.1503,215.5095,215.7806,3029766
2021-02-25,XX0000000515,3M,3M,215.6168,220.3679,214.1586,216.4876,3915604
2021-02-26,XX0000000515,3M,3M,215.7508,216.1948,213.9562,214.4249,5461255
2021-03-01,XX0000000515,3M,3M,213.5866,220.5572,212.8465,216.6661,3588249
2021-03-02,XX0000000515,3M,3M,215.7174,219.5275,213.7622,219.372,3745654
2021-03-03,XX0000000515,3M,3M,219.1075,222.452,215.2707,220.7825,2873966
2021-03-04,XX0000000515,3M,3M,221.2064,221.5903,218.7315,220.3529,3437055
2021-03-05,XX0000000515,3M,3M,220.057,227.8556,218.5869,223.013,3553844
2021-03-08,XX0000000515,3M,3M,224.381,226.8325,220.3774,221.5777,4319909
2021-03-09,XX0000000515,3M,3M,222.0056,226.2614,221.642,225.8918,4413893
2021-03-10,XX0000000515,3M,3M,225.912,228.9714,223.2914,227.5689,2505323
